product_id,product_name
11200-KFV-951,"Lốc Số/lốc máy-Dream, Wave Alpha 2001-2004, Wave S,RS 2007-2009"
11200-KWB-922,Lốc Số/lốc máy- wave S 110-rsx 110 (2010-2016)
11200-KYZ-901,"Lốc Số/lốc máy- future 125, future mập, future lead"
11321-179-710,"đế mâm chỉ wave,spe dream,future, cup70"
11330-K09-850,"Lốc nồi (lốc máy phải) đen nhám Wave RSX 2019-2023,Wave @110(2017–2025)"
11330-K56-N00," Lốc nồi màu đen Sonic, Winner, GTR, CB"
11330-K57-A60,lốc nồi wave blade đen nhám 2017-2025
11330-K57-V00,lốc nồi wave blade XÁM 2017-2026
11330-KEV-900,lốc nồi Wave 2001-2023 Đen 
11330-KFL-860,lốc nồi Wave 2004-2006 Bạc 
11330-KTL-670,"lốc nồi RS, WS 2007-2009 Xám"
11330-KTM-970,lốc nồi Future neo 2007-2009 Xám
11330-KWB-600,"lốc nồi Đen  Wave S110, Wave RS110, Wave RSX 110, Blade 110"
11330-KWW-710,"lốc nồi Bạc  Wave S110, Wave RS110, Wave RSX 110, Blade 110"
11330-KWW-B20,"lốc nồi Xám  Wave S110, Wave RS110, Wave RSX 110, Blade 110"
11330-KYZ-900,"Lốc Nồi Đen Future 125 Fi, Future Led 2024 "
11330-KYZ-G00,"Lốc Nồi Xám Future 125 Fi, Future Led 2024"
11330-KYZ-V00,"Lốc Nồi Bạc Future 125 Fi, Future Led 2024"
11340-K12-900,Lốc Nồi Bạc lead 125 (2013-2023)
11340-K25-600,"Lốc Nồi Đen vision (2015-2016) ,scoopy 2015-2017 có giò đạp"
11340-K2T-V00,Lốc Nồi Bạc lead 2022-2024 - 4 VAN
11340-K2T-V20,Lốc Nồi Đen lead 2022-2024 - 4 VAN
11340-K44-D00,lốc nồi Bạc vision 2014-2020 không giò đạp 
11340-K44-V00,lốc nồi Bạc vision 2014-2020 có giò đạp 
11340-K44-V50,lốc nồi Đen vision 2014-2020 không giò đạp 
11340-K77-V00,#N/A
11340-KVG-900,lốc nồi Bạc Air Blade 2008-2010 xăng cơ
11340-KVG-V20,lốc nồi Đen (AB) Air blade FI-2009-2010
11340-KVG-V41,lốc nồi Bạc Air blade( đầu bò) 2011-2012
11340-KWN-900,Lốc Nồi Bạc PCX 125 (đời 2010 - 2014)
11340-KZL-E00,Lốc Nồi Vision 2010-2013
11341-K03-M40,lốc đề Xám Rsx 110 fi  2014-2016 
11341-K0R-V00,Lốc Nồi Bạc SH 125/150- 2020-2025
11341-K0S-V50,Lốc Nồi Đen SH 125/150- 2020-2025
11341-K1F-V00,Lốc Nồi Đen ( AB) Airblade 2020 -2023
11341-K2C-V00,Lốc Nồi Bạc Vision 2021-2025 
11341-K2S-N00,"Lốc Nắp Nồi Vario 160, Click 160, AB( Air blade)160"
11341-K56-N00,"lốc đề winner,Winner X  2016-2019, Sonic 150R,CBR150R"
11341-K57-A60,"Lốc Đề Đen Wave Blade 110,Wave RSX FI-2016-2025"
11341-K57-V00,"Lốc Đề XÁM Wave Blade 110,Wave RSX FI-2016-2025"
11341-K66-V00,lốc nồi Bạc air blade 125 (2016-2019)
11341-K66-V10,"lốc nồi Đen air blade 125 (2016-2019), Vario 125 (2023-2026)"
11341-K89-V30,Lốc Đề Đen Wave 110 (2017-2026)
11341-K90-VC0,Lốc Đề Đen Wave RSX FI-(2014-2022)
11341-KFL-710,"Lốc đề Bạc sper Dream , Future 1 , Wave Alpha, wave A"
11341-KRS-600,Lốc đề Đen  Wave Alpha 2001-2003
11341-KTL-670,lốc đề Wave S100 và Wave RSX 100
11341-KTM-970,"lốc đề Xám Future Neo, Future X và Future 125"
11341-KWB-600,"Lốc đề Đen Wave S 110 ,Wave RSX 110"
11341-KWW-710,"Lốc đề Bạc Wave S,WAVE RSX110, RS110"
11341-KWW-B20,"Lốc đề Xám Wave S, RS110"
11341-KYZ-G00,"lốc đề Xám Fu 125, fu lead ( 2012-2019 )"
11341-KYZ-V00,"lốc đề Bạc Fu 125, fu lead ( 2012-2019 )"
11341-KZR-601,"lốc Nồi air blade(AB) Đen - 2013-2017, vario 125, click - 2016-2017"
11341-KZR-701,"lốc Nồi air blade(AB) Bạc - 2013-2017, vario 125, click - 2016-2018"
11343-KVB-900,#N/A
11343-KVG-900,"ốc( ống) xả cặn air (AB), SH, SH Mode, vision, lead…"
11344-GW3-980,"cao su chụp nhông phóng đề lead 110, SCR 110, vision 110 (2008-2013)"
11345-GFM-900,"ống hút khí lead 110, SCR 110"
11345-KVB-900,ống hút khí click 110 (2002-2012)
11345-KVG-900,ống hút khí  Air blade (ab) 110 (2007-2008)
11350-KVB-900,cánh gà nồi click( kiểm soát gió) air blade (AB) 2007-2009
11360-K56-N10,"đuôi cá (nắp che nhông) Winner V1, Winner X, Sonic, GTR"
11360-K89-V00,"đuôi cá Wave Alpha 110, Blade 110"
11360-K90-VC0,đuôi cá  RSX 110 (2019-2023)
11360-KFL-860,"đuôi cá (mang cá) Bạc-Future 1, Wave Alpha đời đầu (máy nhỏ) ,Wave ZX.(2001-2006)"
11360-KFV-950,"đuôi cá Bạc-sper dream,Wave Alpha đời đầu (máy nhỏ) ,Wave ZX.(2001-2006), rsx 110"
11360-KRS-900,đuôi cá( mang cá) màu đen wave alpha  2001-2003
11360-KTL-640,đuôi cá( mang cá) màu bạc nhôm Wave RS
11360-KTL-680,đuôi cá( mang cá) màu Đen nhôm Wave A( Alpha tem rồng) 2007-2009
11360-KTM-970,"đuôi cá (mang cá) Xám Future Neo, Neo Fi, GT, Future X"
11360-KWW-600,đuôi cá( mang cá) Wave RSX 110 Đen (2009-2011)
11360-KWW-710,đuôi cá( mang cá) Wave RS 110 BẠC (2009-2011)
11360-KWW-B20,"đuôi cá( mang cá) xám  Wave S110,RSX 110,RS 110  Xám (2009-2013)"
11360-KWW-E20,đuôi cá( mang cá) Xám  Wave BLADE Số (2017-2025)
11360-KYZ-G00,"đuôi cá( nắp cá) Xám Future 125, Fut Led (2015-2022)"
11360-KYZ-V00,"đuôi cá( nắp cá) Bạc Future 125, Fut Led (2015-2022)"
11361-KVR-V00,"đuôi cá( nắp cá) Xám WAVE S100, RSX100 (2007-2010)"
11361-KVR-V10,đuôi cá( nắp cá) Đen wave A (alpha)100 (2006-2016)
11361-KVR-V20,đuôi cá( nắp cá) Bạc Wave RS 100 (2005-2009)
11361-KWN-901,"Nắp lốc nhớt mâm lửa lead 125 (2017- 2021), air (AB) 2016- 2020, SH , SH Mode, Vario 125"
11363-KWN-900,"(Gioăng )Sim mâm lửa PCX 125, Air Blade, Vario, Click thái 125/150"
11370-KEV-900,nắp chắn nhiệt wave alpha Đen 2001-2003
11370-KFL-710,"nắp chắn nhiệt Bạc Super Dream 100, Wave Alpha nhỏ 2004-2006 / Future 1(2007-2009)"
11370-KRS-600,"nắp chắn nhiệt Đen Wave A,(alpha) 100 (2006-2009)"
11370-KTL-670,nắp chắn nhiệt Đen Wave S100 (2006-2009)
11370-KTM-970,"Nắp chắn nhiệt phải Xám Future Neo / Future X, FI (2007-2012)"
11370-KYZ-G00,"Nắp chắn nhiệt XÁM Future 125 Led 2018-2023, Future 125 2012–2017 "
11394-K56-V50,"Ron nồi, Ron lốc nồi Sonic, winner, winner X- V2,V3,V4"
11394-K73-T60,Gioăng nắp máy phải (Ron lốc nồi) Future 125 led 2018-2026
11394-KFL-852," Ron lốc nồi xe  DREAM 100 , WAVE ALPHA, RS,WS,WA 100"
11394-KPH-901, Ron lốc nồi xe  (Gioăng nắp máy phải)  Future NEO đời 2004-2011
11394-KWB-920,"Ron lốc nồi  WAVE A110, S110, RS110, RSX110, DEAM 110"
11394-KYZ-900,"Ron lốc nồi  Future 125 FI LED 2018 – 2024, FUTURE 125 2012-2017,LED 2018-2022, Wave125I 2012-2017"
11395-GBJ-731,"ron lốc đề(Gioăng nắp máy trái)  DREAM, FUTURE 1, WAVE (201-2007 )"
11395-GGC-900,"gioăng( ron) lốc nồi lead 110, scr 110  (2008-2012)"
11395-K01-900,"ron lốc nồi,gioăng nắp máy trái xe SH 125/150 (2012-2019)"
11395-K0R-V01,"ron lốc nồi,gioăng nắp máy trái xe SH 125/150 (2020-20126)"
11395-K12-900,#N/A
11395-K1F-V01,"ron lốc nồi,Gioăng nắp máy trái  Air Blade (AB) 125 / 150 (2020-2022)"
11395-K2C-V01,"ron lốc nồi,Gioăng nắp máy trái  VISION (2021-2026)"
11395-K2C-V02,"ron lốc nồi,Gioăng nắp máy trái  VISION (2021-2026)"
11395-K44-V00,"ron lốc nồi,gioăng lốc nồi Vision110 (2014-2020), Beat FI,Scoopy."
11395-K56-V50,"ron lốc đề,Ron nắp mâm lửa Sonic, Winner V1, Winner X V2 V3 V4, GTR 150, CBR"
11395-KPH-901,"(Ron)gioăng lốc đề future Neo,future125 fi, Future X"
11395-KVB-901,"Ron lốc nồi,Gioăng nắp máy bên trái Air Blade(AB) 110, CLICK 110"
11395-KVY-901,"(Ron)gioăng lốc nồi Air Blade Fi, air đầu bò 2011-2012,vision 2011-2023"
11395-KWB-920,"ron lốc đề,gioăng máy trái WAVE S110, RS110, RSX110"
11395-KWN-900,#N/A
11395-KZR-600,"ron ( gioăng)lốc nồi, Honda Air Blade 125, PCX 125/150, và SH Mode"
12100-GGE-900," (Lòng) Xy lanh Lead 110 (đời 2008 - 2012), SCR 110"
12100-K03-H10,(Lòng)Xy lanh WAVE RSX110 (2014-2018)
12100-K2C-V00,Xy-lanh (lòng hơi) VISION 2021-2026
12100-K44-V00,Xy-lanh (lòng hơi) Vision 20214-2020
12100-K56-N00,"(Lòng) xy-lanh Winner 150, Winner X, Sonic 150R, CB150R"
12100-KFL-850,#N/A
12100-KFM-900,"Lòng,Xy-lanh sper DREAM 100,WAVE (nhỏ) 100 (2001-2005)"
12100-KTM-970,"Lòng,Xy Lanh , Hơi Future Neo / Fu X Chế cơ"
12100-KVB-900,"Lòng,Xy Lanh Air Blade 110( 2007-2008 )Xăng Cơ, Click 110 Bình xăng con"
12100-KVB-T00,"Lòng,Xy Lanh (AB)Air Blade 110 FI (2009-2012)"
12100-KVL-930,"Lòng,Xy lanh Future Neo, FI , Future X Fi, FU125 FI"
12100-KWB-920,"Xy lanh WA @ 110, WAVE S 110 / WAVE RS 110 (2009-2013)"
12100-KYZ-710,"Lòng,Xy lanh  Future 125 Fi  2012-2015"
12100-KYZ-900,"Lòng , Xy lanh Future 125 không fi (2012-2015) bình xăng con"
12100-KZL-930,"Lòng,Xy lanh Vision 2011-2013"
12100-KZR-600,"xy lanh air blade(AB) 125, lead 125, sh mode 125, PCX 125 ,CLICK 125"
12100-KZY-701,"Xy lanh SH 150( 2014-2019) , PCX 150 (2012-2018)"
12191-GFM-901,"Ron( gioăng) Xy Lanh lead 110(2008-2012), SCR110"
12191-GGC-900,Ron( gioăng) Xy Lanh vision 2011-2013
12191-K0J-N01,Ron( gioăng) Xy Lanh vision 2021-2026
12191-K0R-V01,"Ron,Gioăng xi lanh SH 125/150 (2020-2026)"
12191-K1N-V01,"Ron, gioăng Xy Lanh Sh Mode 2020-2024, Vario 160, SH 150, Click 160"
12191-K1Z-J11,"Ron chân lòng , xy lanh Pcx 2022-2026,Air Blade(ab) 2022-2026 , vario 160/4 val"
12191-K2C-V01,Ron( gioăng) Xy Lanh vision 2021-2026
12191-K44-V00,Ron( gioăng) Xy Lanh vision 2014-2020
12191-K56-N01,"Ron (gioăng) Xy Lanh Winner 150, Winner X, và Sonic 150"
12191-K73-T60,Ron Xy Lanh future led 2020-2026
12191-KFL-852,"Ron Xy Lanh wave alpha , future 1, sper dream"
12191-KGF-912,Gioăng chân xy lanh / Ron chân nòng SH 2009-2011
12191-KPH-901,"Ron Xy Lanh,ron chân lòng  Futrure 125 mập, Future FI 125, future Neo 125 (2014-2017 )"
12191-KVB-901,"Ron Xy Lanh,Ron chân lòng AB 110 (2008-2012), Click 110 .2008"
12191-KWB-920,"Ron Xy Lanh Wave S 110 , Wave RS 110 , Wave RSX 110, Blade 110"
12191-KWN-900,gioăng xylanh cho PCX (đời 2010–2012)
12191-KYZ-900,"Ron Xy Lanh,gioăng chân xylanh Future 125 ( 2015–2026), MSX 125, Super cup 125"
12191-KZR-600,"Ron xy lanh Air Blade 125/150, Vario 125/150 , PCX, Lead 125 , SH Mode 125"
12195-KFL-850,"Cao su chống rung A, lòng hơi xilanh DREAM, WAVE alpha , FUTURE "
12195-KPH-900,"Cao su chống rung B lòng hơi xi lanh FUTURE 2, NEO, X 125"
12196-KFM-900,"Cao su chống rung B, lòng hơi xilanh DREAM, WAVE alpha , FUTURE "
12197-KPH-900,"Cao su chống rung C lòng hơi xi lanh FUTURE 2, NEO, X 125"
12200-KFL-900,"Cụm đầu quy lát DREAM ,FUTURE 1 ,WAVE ALPHA  2000-2005"
12206-KZR-600,"Cụm đầu nối ống nước  SH MODE 125 , AB 125/ 150 , VARIO ,PCX , SH 125/150 "
12209-GB4-681SS,"Phốt xupap Nâu (Phốt Git)  AB( Air blade 110/125/150 Click 110, Dream,wave alpha, Future 125, LEAD 12"
12209-GB4-682,"Phốt xupap Xanh (Phốt Git)  AB( Air blade 110/125/150 Click 110, Dream,wave alpha, Future 125, LEAD 13"
12209-K56-N01,"Phốt xupap ( Phốt GIT) Winner 150/X, Sonic 150R, CBR150R, CB150, PCX 150 và Vario 160"
12209-ML0-722,"Phốt,Phớt Chắn Dầu Thân Xu Pap Winner 150, Winner X"
12251-GFM-890,"Gioăng Đầu Xy Lanh (Quy Lát) Lead110, scr 110"
12251-GGC-901,"gioăng quy lát ,ron đầu bò , ron đầu nòng Vision 2014-2019"
12251-K0J-N01,Ron quy lát Vision 2021-2026
12251-K0R-V01,Ron( gioăng) đầu quy lát  SH 125 (2020-2026)
12251-K0S-V01,Ron( gioăng) đầu quy lát  SH 150 (2020-2026)
12251-K12-901,"Gioăng đầu qui lát Air Blade 125, LEAD 125"
12251-K1N-V01,"Ron ,Gioăng đầu qui lát Sh Mode (2020-2023)"
12251-K56-N02,"Ron quy lát Ron đầu lòng Sonic, Winner, GTR, CBR"
12251-K78-V01,"Gioăng, Ron quy lát SH 150(2016-2019), Vario 150(2018-2022), PCX 150(2018-2020)"
12251-K97-T01,"ron,Gioăng Đầu Xy Lanh  Pcx(2017-2021) , Air Blade (2020 -2025)"
12251-KFL-851,"Gioăng( ron quy lát) đầu xy lanh Dream, Wave 100 , future 110"
12251-KGF-911,Gioăng đầu xy lanh (Ron quy lát) SH 125 (2008-2012)
12251-KGG-912,Gioăng đầu xy lanh (Ron quy lát) SH 150 (2008-2012)
12251-KPH-901,"Ron quy lát,Gioăng đầu xylanh  Future II, Future Neo, Future X, FI"
12251-KVB-902,"Ron đầu quy lát  air blade (AB) 110 2008-2012, Click 110 2008, AB đầu bò 2011-2012"
12251-KWB-601,"Ron quy lát Wave S110, RSX110, Wave A110"
12251-KWN-901,Gioăng đầu xy lanh / Ron quy lát / Ron đầu lòng PCX 125(2011-2014)
12251-KYZ-901,"gioăng đầu xi-lanh (ron quy lát)  Future 125, MSX 125 (Grom), Super Cub 125 và XRM"
12251-KZY-701,Gioăng - Ron quy lát Vario 150 - Sh 150 (2014-2026)
12252-K44-V00,Ron quy lát Vision 2012-2020
12301-GB6-911,"nắp 4 lỗ đầu,Nắp đầu quy lát Dream, Wave alpha nhỏ, future 1 , wave (A),wave RS / S"
12310-KWB-600,"nắp đầu quy lát,Nắp chụp đầu bò quy lat Wave S110, RSX 110, wave Blade, wave A110"
12310-KWW-740,"Nắp đầu quy lát ,Nắp đậy đầu bò, Nắp chao  Wave S110, RSX 110(2009-2013) wave Blade, wave A110(2017-2026)"
12331-KFL-850,"nắp cánh bướm  Dream, Wave alpha nhỏ ,future 1, wave (A),wave RS / S"
12341-KFL-850,"nắp tròn Dream, Wave alpha nhỏ 2001-2005 ,future 1, wave (A),wave RS / S"
12341-KYZ-900,"nắp tròn,Nắp Đầu Quy Lát Trái Future 125, future Neo"
12361-035-001,"Nắp xupap Wave, Air Blade,Click,Dream, Lead ,Pcx , Sh, Sh Mode,Vision"
12361-KPH-900,"Nắp xu páp,Nắp xupap Future Neo, Fut 2, Fut 125 Led"
12391-GFM-970,"gioăng cao su đầu quy lát lead 110, scr 110"
12391-GGC-900,gioăng cao su đầu quy lát  vision (2011-2013)
12391-GW8-681,"gioăng 4 lỗ, nắp đầu quy lát  Dream 100 ,Wave 100"
12391-K01-900,"Ron cao su đầu quy lát Sh 125/150(2012-2017), lead 125 (2017-2021)"
12391-K0R-V01,"Ron cao su đầu quy lát Sh 125/160(2020-2026), vario 160, click 160cc"
12391-K1N-V01,"ron cao su đầu quy lát Sh Mode 4 val (2021-2025), Lead 4val 125 (2022-2026)"
12391-K2C-V01,ron cao su đầu (bò) quy lát vision 2021-2026
12391-K44-V00,ron cao su đầu ( bò) quy lát  vision 2014-2020
12391-K44-V81,ron cao su đầu ( bò) quy lát  vision 2014-2020
12391-K56-N00,"Ron (sim) cao su nắp đầu bò Sonic, Winner, GTR, CBR"
12391-K66-V01,(Ron)Gioăng cao su nắp đầu quy lát Air Blade 125 (2016-2020)
12391-KGF-910,"Ron,gioăng cao su đầu quy lát  SH 125/150 ( ý) 2008-2011"
12391-KVB-900,Ron (Gioăng) cao su nắp chao đầu quy lát Air Blade 110 - Click 110
12391-KVY-900,"Ron,Gioăng cao su Nắp Đầu Bò Air Blade 110 Fi,(AB) Béo ( 20011- 2012 )"
12391-KWW-600,"Ron cao su nắp đầu quy lát Wave A110, S110, RS110, RSX110 (2013-2018)"
12391-KWW-A81,"Gioăng nắp đầu quy lát WAVE RSX110(2019-2023), BLADE xe số"
12391-KZR-600,"Ron (Gioăng) nắp chao đầu AB 125, SH Mode(2013-2020), pcx,Vario, Click 125"
12394-KFL-852,"Ron,Gioăng nắp Cánh bướm Wave,dream, future, wave rs,ws"
12395-KFL-852,"Ron,Gioăng nắp tròn Wave (A),dream, future 1, Wave RS,WS"
12395-KPH-901,"ron nắp tròn,Gioăng nắp đầu quylát trái Future II / NEO / X (2004-2011)"
13000-K02-900,Cụm Trục khuỷu cho SH 125/150 (đời 2012–2019)
13000-K03-H10,Trục khuỷu / Cây dên / Trục cơ RSX 110 FI  2014-2026
13000-K0R-V00,"Trục khuỷu / Cây dên / Trục cơ SH 125(2020-2026), Air Blade 125, Lead 125,Sh Mode(2022-2026)"
13000-K2C-V00,"Dên, Trục khuỷu Vision 2022-2026"
13000-K44-V40,"Dên, Trục khuỷu Vision 2014-2020"
13000-K66-VE0,"Dên, Trục khuỷu Air blade(AB) 125cc (2015-2019)"
13000-K73-T30,"Dên, Trục khuỷu Future 125 FI / Future LED 2015-2026"
13000-KPH-900,"Dên, Trục khuỷu Future Neo,  Future neo FI, Futurer 2( 2004-2009)"
13000-KTL-740,"Dên, Trục khuỷu Wave S100 / Wave RS 100 / Wave RSX 100"
13000-KVB-901,"Dên, Trục khuỷu air blade 110(2007-2009), (AB)FI (2009-2010), Click 110( 2006-2011)"
13000-KVB-S50,"Dên, Trục khuỷu ( AB) FI (2011-2012) air blade 110(2007-2009), (AB)FI (2009-2010)"
13000-KWB-601,"Dên, Trục khuỷu WS110,Wave RSX 110cc 2009-2013"
13000-KWW-740,"Dên, Trục khuỷu WA110,Wave RSX FI 110cc 2014-2026"
13000-KYZ-901,"Dên, Trục khuỷu Future 125 FI (MÂP) 2012-2014"
13000-KZL-E00,"Dên, Trục khuỷu Vision 2011-2013"
13011-GCC-309,"Bạc cốt 0,Bộ xéc măng tiêu chuẩn air blade 110(2007-2009)Click 110( 2006-2011)"
13011-GCC-B50,"Bạc  cốt 0 (STD),Bộ xéc măng tiêu chuẩn SCR110cc / Lead 110cc 2008-2012)"
13011-K03-305,"Bạc cốt 0,Bộ xéc măng tiêu chuẩn RSX110 FI, blade 110 số(2014-2026) wave110( 2017-2026)"
13011-K44-V00,"Bạc cốt 0,Bộ xéc măng tiêu chuẩn Vision 110(2014-2020)"
13011-K56-N01,"Bạc cốt 0,Bộ xéc măng tiêu chuẩn Winner 150, winner X, Sonic150, CBR150R(2016-2026)"
13011-K59-A70,#N/A
13011-K90-V00,"Bạc cốt 0 ,Bộ xéc măng tiêu chuẩn Wave RSX 110 FI, wave alpha 110( 2019-2026)"
13011-KFL-851,"Bạc cốt 0 ,Bộ xéc măng tiêu chuẩn Wave 100,dream 100, future 110, wave rs 100,ws 100"
13011-KPH-881,"Bạc cốt 0 ,Bộ xéc măng tiêu chuẩn future Neo 125 (2005-2009), Future X 125 (2010-2011)"
13011-KPH-900,"Bạc cốt 0 ,Bộ xéc măng (0.00)  future Neo 125 (2005-2009), Future X 125 (2010-2011)"
13011-KWB-305,"Bạc cốt 0 ,Bộ xéc măng (0.00) WAVE S110, Wave RSX 110 FI, wave RS 110( 2009-2013)"
13011-KWN-900,"Bộ Bạc cốt 0(std) PCX 125 (2012-2014),air blade(ab) 125,lead 125,sh mode 125 (2013-2015)"
13011-KWW-740,"Bạc  cốt 0 ,Bộ xéc măng tiêu chuẩn RSX110 FI, blade 110 số(2014-2026) wave110( 2017-2026)"
13012-GCC-309,"Bạc cốt 1,Bộ xéc măng tiêu chuẩn air blade 110(2007-2009)Click 110( 2006-2011)"
13012-KFL-851,"Bạc cốt 1,Bộ xéc măng tiêu chuẩn Wave 100,dream 100, future 110, wave rs 100,ws 100"
13012-KYZ-900,"Bạc cốt 0 ,Bộ xéc măng tiêu chuẩn Future 125 FI / Future LED (2012-2026), MSX 125"
13013-GCC-309,"Bạc Piston cốt 2 ,Bộ xéc măng tiêu chuẩn air blade 110(2007-2009)Click 110( 2006-2011)"
13013-KFL-851,"Bạc cốt 2 ,Bộ xéc măng (0.50) Wave 100,dream 100, future 110, wave rs 100,ws 100"
13014-GCC-309,"Bạc cốt 3 ,Bộ xéc măng tiêu chuẩn air blade 110(2007-2009)Click 110( 2006-2011)"
13014-KFL-851,#N/A
13021-K03-306,"Bạc cốt 1,Bộ xéc măng tiêu chuẩn RSX110 FI, blade 110 số(2014-2026) wave110( 2017-2026)"
13021-K56-N01,"Bạc cốt 1 ,Bộ xéc măng tiêu chuẩn Winner 150, winner X, Sonic150, CBR150R(2016-2026)"
13021-KPH-900,"Bạc cốt 1 ,Bộ xéc măng (0.25)  future Neo 125 (2005-2009), Future X 125 (2010-2011)"
13021-KWB-305,"Bạc Piston cốt 1,Bộ xéc măng tiêu chuẩn RSX110 FI, blade 110 số(2014-2026) wave110( 2007-2026)"
13021-KWN-900,"Bộ Bạc cốt 1 , PCX 125 (2012-2014),air blade(ab) 125,lead 125,sh mode 125 (2013-2015)"
13021-KWW-740,"Bạc  cốt 1 ,Bộ xéc măng (0.25) RSX110 FI, blade 110 số(2014-2026) wave110( 2017-2026)"
13021-KZY-700,"Bộ bạc cốt 1, Air Blade 125cc / Lead 125cc,SH Mode 125cc(2013-2015), Pcx 125(2012-2014)"
13022-KYZ-900,"Bạc cốt 1 ,Bộ xéc măng (0.25) Future 125 FI / Future LED (2012-2026), MSX 125"
13031-K44-V00,"Bạc cốt 2 ,Bộ xéc măng (0.50)  Vision 110(2014-2020)"
13101-GFM-900,"Piston cốt 0 , Piston tiêu chuẩn (STD)  , Lead110, scr 110 (2008-2012)"
13101-K03-H10,"Piston cốt 0 ,Piston (STD) RSX110 FI, blade 110 số(2014-2026) wave110( 2017-2026)"
13101-K2F-T00,"Piston cốt 0 ,Piston tiêu chuẩn (STD) Vision 110(2021-2026)"
13101-K36-T00,#N/A
13101-K44-V00,"Piston cốt 0 ,Piston tiêu chuẩn (STD)  Vision 110 (2014-2020)"
13101-K56-P00,"Piston cốt 0 (STD) Winner 150, winner X, Sonic150, CBR150R(2016-2026)"
13101-K77-V00,"Piston cốt 0 ,Piston tiêu chuẩn (STD)  SH 125, SH Mode 125 (2017-2019)"
13101-KFL-505,"Piston cốt 0 ,Piston (STD) Wave 100,dream 100, future 110, wave rs 100,ws 100"
13101-KFV-660,"Piston cốt 0 ,Piston tiêu chuẩn (STD) Wave 100,dream 100 , wave rs 100,wave S 100"
13101-KPH-881,"Piston cốt 0 ,Piston (STD) future Neo 125 (2005-2009), Future X 125 (2010-2011)"
13101-KVB-900,"Piston cốt 0 ,Piston tiêu chuẩn (STD) air blade 110(2007-2009)Click 110( 2006-2011)"
13101-KVB-T00,"Piston cốt 0 ,Piston tiêu chuẩn (STD) air blade FI 110(2009-2012) Click 110( 2006-2011)"
13101-KWB-600,"Piston cốt 0 ,Piston  (STD) WAVE S110, Wave RSX 110 FI, wave RS 110( 2009-2013)"
